type,flag,externInfo,parameters,version,applicant
0x003e0000,FLAG_TNE_LOG| FLAG_TNE_ANR_TRACE| FLAG_TNE_PACKAGE| FLAG_TNE_BASIC| FLAG_TNE_POWER| FLAG_TNE_DB_INFO| FLAG_TNE_SYS_MEM,,,,
0x003e0001,FLAG_TNE_LOG| FLAG_TNE_PERF_BUFFER | FLAG_TNE_SYS_TRACE | FLAG_TNE_PACKAGE| FLAG_TNE_BASIC| FLAG_TNE_SYS_MEM| FLAG_TNE_WINDOW| FLAG_TNE_CPU_INFO| FLAG_TNE_BINDER,,,,
0x003e0002,FLAG_TNE_LOG| FLAG_TNE_COM_BUFFER| FLAG_TNE_BASIC,,,,
0x003e0003,FLAG_TNE_LOG| FLAG_TNE_COM_BUFFER| FLAG_TNE_BASIC,,,,
0x003e0004,FLAG_TNE_LOG| FLAG_TNE_POWER_BUFFER| FLAG_TNE_BASIC| FLAG_TNE_POWER| FLAG_TNE_THERMAL| FLAG_TNE_PACKAGE| FLAG_TNE_BUGREPORT,,,,
0x003e0005,FLAG_TNE_LOG| FLAG_TNE_MEDIA| FLAG_TNE_BASIC,,,,
0x003e0006,FLAG_TNE_LOG| FLAG_TNE_CAMERA_BUFFER| FLAG_TNE_CAMERA | FLAG_TNE_ANR_TRACE| FLAG_TNE_PACKAGE| FLAG_TNE_BASIC| FLAG_TNE_DB_INFO| FLAG_TNE_SYS_MEM,,,,
0x003e0007,FLAG_TNE_LOG| FLAG_TNE_CAMERA| FLAG_TNE_BUGREPORT| FLAG_TNE_SYS_MEM| FLAG_TNE_BASIC| FLAG_TNE_POWER | FLAG_TNE_PACKAGE| FLAG_TNE_DB_INFO| FLAG_TNE_FD| FLAG_TNE_WINDOW| FLAG_TNE_BINDER| FLAG_TNE_CPU_INFO | FLAG_TNE_PERF_BUFFER| FLAG_TNE_POWER_BUFFER| FLAG_TNE_PERF_BUFFER| FLAG_TNE_COM_BUFFER| FLAG_TNE_CAMERA_BUFFER,,,,
0x003e0008,FLAG_TNE_LOG| FLAG_TNE_CAMERA| FLAG_TNE_BUGREPORT| FLAG_TNE_SYS_MEM| FLAG_TNE_BASIC| FLAG_TNE_POWER | FLAG_TNE_PACKAGE| FLAG_TNE_DB_INFO| FLAG_TNE_FD| FLAG_TNE_WINDOW| FLAG_TNE_BINDER| FLAG_TNE_CPU_INFO | FLAG_TNE_PERF_BUFFER| FLAG_TNE_POWER_BUFFER| FLAG_TNE_PERF_BUFFER| FLAG_TNE_COM_BUFFER| FLAG_TNE_CAMERA_BUFFER,,,,
0x007a0000,FLAG_TNE_BINDER |FLAG_TNE_BASIC |FLAG_TNE_SYS_MEM | FLAG_TNE_PROC_BASIC |FLAG_TNE_PROC_STACK,,,,
0x007a0001,默认：FLAG_TNE_WINDOW lowmem：FLAG_TNE_HPROF,,,,
0xffffff16,,,,,
0xffffffff,,,,,
0x000a0001,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0002,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0003,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0004,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0005,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0006,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0007,FLAG_TNE_LOG,,,,
0x000a0008,,,,,
0x00010000,,,,,
0x000a0008,,,,,
0x000a0009,,,,,
0x000a000a,,,,,
0x000a000b,,,,,
0x000a000c,,,,,
0x000a000d,,,,,
0x000a000e,,,,,
0x000a000f,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0010,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0011,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0012,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0013,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0014,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0015,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0016,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0017,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0018,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0019,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a001a,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a001b,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a001c,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a001d,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000c0001,,,,,
0x000c0002,,,,,
0x000c0003,,,,,
0x000c0004,,,,,
0x000c0005,FLAG_TNE_LOG | FLAG_TNE_SYS_TRACE,,,,
0xffffff27,FLAG_TNE_USER_LOG_KERNEL | FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_PROPERTY,,,,
0x000c0006,FLAG_TNE_LOG,,,,
0xffffff28,FLAG_TNE_USER_LOG_KERNEL | FLAG_TNE_USER_LOG_MAIN_SYS |FLAG_TNE_USER_PROPERTY,,,,
0x00070001,FLAG_TNE_CPU_INFO,,,,
0xffffff26,,,,,
0x00080001,,,,,
0xffffff36,FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_KERNEL | FLAG_TNE_USER_LAST_KMSG | FLAG_TNE_USER_PROPERTY,,,,
0x007a0041,FLAG_TNE_HPROF | FLAG_TNE_LOG,,,,
0xffffff29,,,,,
0x007a0042,,,,,
0xffffff2a,FLAG_TNE_USER_PROPERTY | FLAG_TNE_USER_SIGNAL_TRACE | FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_EVENT | FLAG_TNE_USER_LOG_CRASH,,,,
0x007a0043,FLAG_TNE_LOG,,,,
0xffffff2b,,,,,
0x007a0044,,,,,
0xffffff2c,,,,,
0x007a0045,,,,,
0xffffff2d,FLAG_TNE_USER_LOG_MAIN_SYS |FLAG_TNE_USER_LOG_KERNEL |FLAG_TNE_USER_WINDOW,,,,
0x007a0046,,,,,
0xffffff2e,,,,,
0x007a0047,,,,,
0xffffff2f,,,,,
0x007a0048,,,,,
0xffffff30,FLAG_TNE_WINDOW|FLAG_TNE_PROC_MEM|FLAG_TNE_SYS_MEM|FLAG_TNE_ANR_TRAC|FLAG_TNE_LOG|FLAG_TNE_FD|FLAG_TNE_POWER_BUFFER,,,,
0x007a0049,,,,,
0xffffff31,FLAG_TNE_USER_NATIVE_TRACE | FLAG_TNE_USER_LOG_CRASH | FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_EVENT | FLAG_TNE_USER_LOG_RADIO | FLAG_TNE_USER_LOG_KERNEL | FLAG_TNE_USER_LAST_KMSG | FLAG_TNE_USER_ANR_TRACE | FLAG_TNE_USER_BINDER | FLAG_TNE_USER_PROPERTY,,,,
0x007a0050,,,,,
0xffffff32,FLAG_TNE_USER_NATIVE_TRACE | FLAG_TNE_USER_LOG_CRASH | FLAG_TNE_USER_PROPERTY,,,,
0x007a0051,,,,,
0xffffff33,FLAG_TNE_USER_BASIC | FLAG_TNE_USER_LOG_CRASH | FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_EVENT | FLAG_TNE_USER_LOG_RADIO | FLAG_TNE_USER_LOG_KERNEL | FLAG_TNE_USER_LAST_KMSG | FLAG_TNE_USER_CPU_INFO | FLAG_TNE_USER_PROPERTY,,,,
